frame,t_epoch,t_rel,len,plane,tunneled,teid,ip_in_src,ip_in_dst,l4_proto,sport,dport,proto,label
4324,1780399142.270505000,41.813046000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4325,1780399142.270693000,41.813234000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4326,1780399142.270693000,41.813234000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4327,1780399142.271428000,41.813969000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4328,1780399142.271428000,41.813969000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4329,1780399142.271616000,41.814157000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4330,1780399142.271616000,41.814157000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4331,1780399142.272307000,41.814848000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4332,1780399142.272308000,41.814849000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4333,1780399142.272498000,41.815039000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4334,1780399142.272499000,41.815040000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4335,1780399142.273228000,41.815769000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4336,1780399142.273228000,41.815769000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4337,1780399142.273425000,41.815966000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4338,1780399142.273425000,41.815966000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4339,1780399142.274175000,41.816716000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4340,1780399142.274177000,41.816718000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4341,1780399142.274350000,41.816891000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4342,1780399142.274351000,41.816892000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4343,1780399142.275053000,41.817594000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4344,1780399142.275054000,41.817595000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4345,1780399142.275224000,41.817765000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4346,1780399142.275225000,41.817766000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4347,1780399142.275928000,41.818469000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4348,1780399142.275928000,41.818469000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4349,1780399142.276112000,41.818653000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4350,1780399142.276112000,41.818653000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4351,1780399142.276847000,41.819388000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4352,1780399142.276847000,41.819388000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4353,1780399142.277029000,41.819570000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4354,1780399142.277029000,41.819570000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4355,1780399142.277535000,41.820076000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4356,1780399142.277537000,41.820078000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4357,1780399142.277551000,41.820092000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4358,1780399142.277551000,41.820092000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4359,1780399142.277559000,41.820100000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4360,1780399142.277559000,41.820100000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4361,1780399142.277565000,41.820106000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4362,1780399142.277565000,41.820106000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4363,1780399142.277571000,41.820112000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4364,1780399142.277571000,41.820112000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4365,1780399142.277577000,41.820118000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4366,1780399142.277578000,41.820119000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4367,1780399142.277778000,41.820319000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4368,1780399142.277779000,41.820320000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4369,1780399142.277957000,41.820498000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4370,1780399142.277957000,41.820498000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4371,1780399142.278661000,41.821202000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4372,1780399142.278661000,41.821202000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4373,1780399142.278846000,41.821387000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4374,1780399142.278846000,41.821387000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4375,1780399142.279573000,41.822114000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4376,1780399142.279573000,41.822114000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4377,1780399142.279754000,41.822295000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4378,1780399142.279755000,41.822296000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4379,1780399142.280477000,41.823018000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4380,1780399142.280478000,41.823019000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4381,1780399142.280660000,41.823201000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4382,1780399142.280661000,41.823202000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4383,1780399142.281381000,41.823922000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4384,1780399142.281381000,41.823922000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4385,1780399142.281568000,41.824109000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4386,1780399142.281569000,41.824110000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4387,1780399142.282290000,41.824831000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4388,1780399142.282291000,41.824832000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4389,1780399142.282475000,41.825016000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4390,1780399142.282475000,41.825016000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4391,1780399142.283197000,41.825738000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4392,1780399142.283197000,41.825738000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4393,1780399142.283383000,41.825924000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4394,1780399142.283383000,41.825924000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4395,1780399142.284101000,41.826642000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4396,1780399142.284101000,41.826642000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4397,1780399142.284286000,41.826827000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4398,1780399142.284287000,41.826828000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4399,1780399142.285001000,41.827542000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4400,1780399142.285001000,41.827542000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4401,1780399142.285187000,41.827728000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4402,1780399142.285191000,41.827732000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4403,1780399142.285913000,41.828454000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4404,1780399142.285913000,41.828454000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4405,1780399142.286090000,41.828631000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4406,1780399142.286090000,41.828631000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4407,1780399142.286887000,41.829428000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4408,1780399142.286887000,41.829428000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4409,1780399142.287076000,41.829617000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4410,1780399142.287076000,41.829617000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4411,1780399142.287762000,41.830303000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4412,1780399142.287762000,41.830303000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4413,1780399142.287945000,41.830486000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4414,1780399142.287945000,41.830486000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4415,1780399142.288633000,41.831174000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4416,1780399142.288633000,41.831174000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4417,1780399142.288818000,41.831359000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4418,1780399142.288819000,41.831360000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4419,1780399142.289526000,41.832067000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4420,1780399142.289527000,41.832068000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4421,1780399142.289712000,41.832253000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4422,1780399142.289712000,41.832253000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4423,1780399142.290445000,41.832986000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4424,1780399142.290445000,41.832986000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4425,1780399142.290640000,41.833181000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4426,1780399142.290641000,41.833182000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4427,1780399142.291498000,41.834039000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4428,1780399142.291499000,41.834040000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4429,1780399142.291677000,41.834218000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4430,1780399142.291678000,41.834219000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4431,1780399142.292262000,41.834803000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4432,1780399142.292262000,41.834803000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4433,1780399142.292452000,41.834993000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4434,1780399142.292452000,41.834993000,1516,user,0,,192.168.70.134,192.168.70.129,,,,IPv4,gtpu_n3_fragment
4435,1780399142.292476000,41.835017000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4436,1780399142.292478000,41.835019000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4437,1780399142.292525000,41.835066000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
4438,1780399142.292526000,41.835067000,100,user,1,0x00000001,12.1.1.132,104.18.27.209,TCP,51311,443,GTP/TCP,benign_background
